Day,Date,Fassala sim,Fassala data,Fassala error,Mentao sim,Mentao data,Mentao error,Dori sim,Dori data,Dori error,Damba sim,Damba data,Damba error,Djibo sim,Djibo data,Djibo error,Niamey sim,Niamey data,Niamey error,Mangaize sim,Mangaize data,Mangaize error,Ayorou sim,Ayorou data,Ayorou error,Tahoua sim,Tahoua data,Tahoua error,Abala sim,Abala data,Abala error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
18,2022-09-19,9818,11688,0.16,8540,8673,0.0153,7113,7256,0.0197,4362,4559,0.0432,2244,2376,0.0556,36204,36643,0.012,5717,5768,0.0088,11148,11246,0.0087,12475,11089,0.125,21117,22318,0.0538,0.047767604264421164,121616,118908,118281,118738,213
19,2022-09-20,9808,11688,0.1608,8542,8673,0.0151,7120,7256,0.0187,4362,4559,0.0432,2242,2376,0.0564,36204,36643,0.012,5717,5768,0.0088,11137,11246,0.0097,12475,11089,0.125,21117,22318,0.0538,0.04788596646967814,121616,118906,118281,118724,213
20,2022-09-21,9800,11688,0.1615,8546,8673,0.0146,7123,7256,0.0183,4362,4559,0.0432,2238,2376,0.0581,36204,36643,0.012,5717,5768,0.0088,11133,11246,0.01,12475,11089,0.125,21117,22318,0.0538,0.047962056458771905,121616,118907,118281,118715,213
21,2022-09-22,9784,11688,0.1629,8549,8673,0.0143,7126,7256,0.0179,4362,4559,0.0432,2235,2376,0.0593,36204,36643,0.012,5717,5768,0.0088,11129,11246,0.0104,12475,11089,0.125,21117,22318,0.0538,0.0481057819937268,121616,118907,118281,118698,213
22,2022-09-23,9771,11688,0.164,8551,8673,0.0141,7132,7256,0.0171,4362,4559,0.0432,2233,2376,0.0602,36204,36643,0.012,5717,5768,0.0088,11123,11246,0.0109,12475,11089,0.125,21117,22318,0.0538,0.048215689755751134,121616,118909,118281,118685,213
23,2022-09-24,9763,11688,0.1647,8553,8673,0.0138,7138,7256,0.0163,4362,4559,0.0432,2231,2376,0.061,36204,36643,0.012,5717,5768,0.0088,11115,11246,0.0116,12475,11089,0.125,21117,22318,0.0538,0.048300234188077544,121616,118904,118281,118675,213
24,2022-09-25,9749,11688,0.1659,8555,8673,0.0136,7142,7256,0.0157,4362,4559,0.0432,2229,2376,0.0619,36204,36643,0.012,5717,5768,0.0088,11111,11246,0.012,12475,11089,0.125,21117,22318,0.0538,0.04841859639333452,121616,118901,118281,118661,213
25,2022-09-26,9740,11688,0.1667,8559,8673,0.0131,7147,7256,0.015,4362,4559,0.0432,2225,2376,0.0636,36204,36643,0.012,5717,5768,0.0088,11105,11246,0.0125,12475,11089,0.125,21117,22318,0.0538,0.04850314082566093,121616,118906,118281,118651,213
26,2022-09-27,9734,11688,0.1672,8560,8673,0.013,7150,7256,0.0146,4362,4559,0.0432,2224,2376,0.064,36204,36643,0.012,5717,5768,0.0088,11100,11246,0.013,12475,11089,0.125,21117,22318,0.0538,0.04857077637152205,121616,118905,118281,118643,213
27,2022-09-28,9723,11688,0.1681,8564,8673,0.0126,7156,7256,0.0138,4362,4559,0.0432,2220,2376,0.0657,36204,36643,0.012,5717,5768,0.0088,11092,11246,0.0137,12475,11089,0.125,21117,22318,0.0538,0.048680684133546384,121616,118905,118281,118630,213
