name1,name2,distance,forced_redirection
Gao,Segou,685.2991349981847,0
Gao,Tombouctou,321.44155001302704,0
Gao,Douentza,341.8144856037006,0
Gao,Sikasso,908.0307162089048,0
Gao,Koulikoro,893.7327560794762,0
Gao,Menaka,263.84492648711944,0
Gao,Kidal,285.17509038708374,0
Gao,Bamako,947.4622384211733,0
Gao,Fassala,591.9385465986277,1
Gao,Mentao,311.40118366456943,1
Gao,Dori,248.52690237176665,1
Gao,Damba,294.8778838112553,1
Gao,Djibo,295.3082173423081,1
Gao,Niamey,382.63973252215595,1
Gao,Mangaize,277.4970440366233,1
Gao,Ayorou,199.66328991496115,1
Gao,Tahoua,588.9050356834348,1
Gao,Abala,401.4940499090166,1
Segou,Gao,685.2991349981847,0
Segou,Tombouctou,439.5755405645632,0
Segou,Douentza,344.70781839572203,0
Segou,Kayes,458.32592050940065,0
Segou,Sikasso,299.2303862435035,0
Segou,Koulikoro,214.45001798803946,0
Segou,Menaka,925.3839878109029,0
Segou,Kidal,928.5282723976111,0
Segou,Bamako,268.1159078010153,0
Segou,Fassala,174.45304014649392,1
Segou,Mentao,466.496351529471,1
Segou,Dori,643.3533011823534,1
Segou,Damba,471.1052135284928,1
Segou,Djibo,470.8273678443294,1
Segou,Niamey,877.8515792987067,1
Segou,Mangaize,859.7752734252841,1
Segou,Ayorou,749.1015027104011,1
Tombouctou,Gao,321.44155001302704,0
Tombouctou,Segou,439.5755405645632,0
Tombouctou,Douentza,194.4410753926477,0
Tombouctou,Kayes,841.7661610633313,0
Tombouctou,Sikasso,717.8549486380947,0
Tombouctou,Koulikoro,653.1741069408857,0
Tombouctou,Menaka,585.2167054683727,0
Tombouctou,Kidal,504.1503547056465,0
Tombouctou,Bamako,706.2465324385583,0
Tombouctou,Fassala,300.21896470724124,1
Tombouctou,Mentao,343.14695901901626,1
Tombouctou,Dori,440.17470116321493,1
Tombouctou,Damba,330.1209543941913,1
Tombouctou,Djibo,330.2946440916073,1
Tombouctou,Niamey,656.970699541131,1
Tombouctou,Mangaize,579.889288271706,1
Tombouctou,Ayorou,477.5625342710589,1
Tombouctou,Tahoua,909.7869217672218,1
Tombouctou,Abala,719.5567246889866,1
Douentza,Gao,341.8144856037006,0
Douentza,Segou,344.70781839572203,0
Douentza,Tombouctou,194.4410753926477,0
Douentza,Kayes,795.825208016395,0
Douentza,Sikasso,576.446943000196,0
Douentza,Koulikoro,551.9241437755228,0
Douentza,Menaka,582.3551954376421,0
Douentza,Kidal,600.1740808869973,0
Douentza,Bamako,605.6739565728868,0
Douentza,Fassala,282.308920625948,1
Douentza,Mentao,180.9241528571795,1
Douentza,Dori,332.55208646705466,1
Douentza,Damba,174.41729755052947,1
Douentza,Djibo,174.3846271482208,1
Douentza,Niamey,570.3930885756572,1
Douentza,Mangaize,529.1170984144293,1
Douentza,Ayorou,417.6330823979796,1
Douentza,Tahoua,883.2836088914831,1
