name,population
Lagos,5195247
Kano,2166554
Ibadan,1835300
Kaduna,993642
Benin City,762719
Port Harcourt,703421
Maiduguri,618278
Zaria,612257
Ilorin,532089
Jos,510300
Aba,500183
