name1,name2,distance,forced_redirection
Chad,Chad,0.0,0
Chad,Diffa,193.29222011601638,0
Chad,Minawao,340.2236240233417,0
Chad,Maradi,787.5652488536352,0
Chad,Borno,240.33084584009336,1
Chad,Kaduna,871.2147146805005,1
Chad,Benue,885.6674196745815,1
Chad,Federal Capital Territory,957.0496704120309,1
Chad,Katsina,720.3068284585189,1
Chad,Plateau,671.678048288424,1
Chad,Niger,961.737054049997,1
Chad,Kogi,966.2183346103134,1
Chad,Yobe,276.0925432589444,1
Chad,Kano,658.9292458316346,1
Chad,Bauchi,612.3670366339193,1
Chad,Adamawa,521.9663228089871,1
Chad,Taraba,734.3620638921042,1
Chad,Jigawa,439.55663427838726,1
Chad,Sokoto,864.479364013483,1
Chad,Nassarawa,834.7739914902781,1
Chad,Gombe,536.2088088633035,1
Diffa,Chad,193.29222011601638,0
Diffa,Diffa,0.0,0
Diffa,Minawao,334.42095634107926,0
Diffa,Maradi,597.3595437118149,0
Diffa,Borno,229.75434973984815,1
Diffa,Kaduna,681.0041870354164,1
Diffa,Benue,735.815831832131,1
Diffa,Enugu,908.2122465826718,1
Diffa,Kebbi,902.5123192364638,1
Diffa,Federal Capital Territory,780.4660444469723,1
Diffa,Ekiti,973.8350679578556,1
Diffa,Zamfara,807.8687219787937,1
Diffa,Katsina,527.0186037552651,1
Diffa,Ebonyi,949.5936243692896,1
Diffa,Plateau,524.6211751434932,1
Diffa,Niger,774.9955877933247,1
Diffa,Kogi,805.242259932714,1
Diffa,Yobe,87.44006711177074,1
Diffa,Edo,983.9952394978529,1
Diffa,Kano,467.0381209255622,1
Diffa,Bauchi,448.76352159419406,1
Diffa,Adamawa,448.3352841129426,1
Diffa,Taraba,628.8832861261816,1
Diffa,Jigawa,246.8274337241773,1
Diffa,Sokoto,672.959492328923,1
Diffa,Nassarawa,691.053955695057,1
Diffa,Gombe,410.5055127380322,1
Minawao,Chad,340.2236240233417,0
Minawao,Diffa,334.42095634107926,0
Minawao,Minawao,0.0,0
Minawao,Maradi,805.1854501548788,0
Minawao,Borno,109.14100080980225,1
Minawao,Kaduna,775.9233366386024,1
Minawao,Benue,645.3577766318999,1
Minawao,Enugu,797.9386291116841,1
Minawao,Rivers,986.9162504858502,1
Minawao,Federal Capital Territory,783.7015937456844,1
Minawao,Ekiti,957.522624532991,1
Minawao,Zamfara,942.9380936753137,1
Minawao,Katsina,694.9898855674745,1
Minawao,Ebonyi,823.8184175684215,1
Minawao,Plateau,448.7929302207982,1
Minawao,Niger,834.4978378918067,1
Minawao,Kogi,745.5507835003519,1
Minawao,Imo,918.049397929336,1
Minawao,Yobe,334.3295510953605,1
Minawao,Edo,921.971215206365,1
Minawao,Anambra,897.2960332103355,1
Minawao,Cross River,871.6089526539108,1
Minawao,Kano,605.4938905581965,1
Minawao,Akwa Ibom,922.9258342123446,1
Minawao,Bauchi,441.0803977448528,1
Minawao,Adamawa,209.93553208857332,1
Minawao,Taraba,435.3945980545685,1
Minawao,Jigawa,446.01592839598067,1
Minawao,Sokoto,863.6354985159335,1
Minawao,Nassarawa,586.1965950874898,1
Minawao,Abia,895.745637486709,1
Minawao,Gombe,298.9911967104847,1
Maradi,Chad,787.5652488536352,0
Maradi,Diffa,597.3595437118149,0
Maradi,Minawao,805.1854501548788,0
Maradi,Maradi,0.0,0
Maradi,Borno,748.1060873735722,1
Maradi,Ondo,722.0840145873555,1
Maradi,Kaduna,271.259172438237,1
Maradi,Benue,631.5642968703767,1
Maradi,Enugu,760.1723860141356,1
Maradi,Kebbi,328.0368034789586,1
Maradi,Rivers,956.8022334630971,1
Maradi,Federal Capital Territory,485.3783452542025,1
Maradi,Ekiti,636.424056993126,1
Maradi,Zamfara,265.2274520360468,1
Maradi,Katsina,131.28775667917046,1
Maradi,Ebonyi,814.9900475192347,1
Maradi,Delta,906.0405508650907,1
Maradi,Plateau,552.7954062750979,1
Maradi,Niger,378.39897434962256,1
Maradi,Kogi,610.8330758061195,1
Maradi,Imo,852.4153672653977,1
Maradi,Osun,687.2352562284249,1
Maradi,Yobe,527.4528675221587,1
Maradi,Edo,723.9102192073871,1
Maradi,Anambra,810.7737763510054,1
Maradi,Kwara,609.9445717172481,1
Maradi,Lagos,875.3282149934431,1
Maradi,Cross River,951.3853458916996,1
Maradi,Kano,224.75035019431772,1
Maradi,Akwa Ibom,941.3551416580527,1
Maradi,Oyo,742.8352187830646,1
Maradi,Bauchi,461.94439543901854,1
Maradi,Adamawa,749.1341934536633,1
Maradi,Taraba,752.9082587656834,1
Maradi,Jigawa,369.7230820106086,1
Maradi,Sokoto,82.46049687380882,1
Maradi,Nassarawa,637.2974552437885,1
Maradi,Abia,883.068010604502,1
Maradi,Ogun,877.4880088097211,1
Maradi,Bayelsa,945.3332109436833,1
Maradi,Gombe,603.0489059044351,1
Borno,Chad,240.33084584009336,1
Borno,Diffa,229.75434973984815,1
Borno,Minawao,109.14100080980225,1
Borno,Maradi,748.1060873735722,1
Borno,Kaduna,754.6672570712909,0
Borno,Benue,682.3968534274876,0
Borno,Enugu,844.6207215592705,0
Borno,Federal Capital Territory,792.6219228268599,0
Borno,Ekiti,975.7552239528384,0
Borno,Zamfara,911.548248377069,0
Borno,Katsina,648.3806688412957,0
Borno,Ebonyi,875.962593948557,0
Borno,Plateau,473.3890078510053,0
Borno,Niger,825.9674242542087,0
Borno,Kogi,774.5327387150325,0
Borno,Imo,967.756424817254,0
Borno,Yobe,244.15410598849894,0
Borno,Edo,954.6410726968207,0
Borno,Anambra,943.2876348837291,0
