name,population
Portuguesa,1055246
Agua Blanca,24155
Araure,195109
Esteller,51377
Guanare,232739
Guanarito,43587
Monsenor Jose Vicente de Unda,27520
Ospino,56619
Paez,212662
Papelon,19334
San Genaro de Boconoito,27105
San Rafael de Onoto,21489
Santa Rosalia,20330
Sucre,48235
Turen,74985
